SvcID;SvcName;SvcCode;SvcNote
5;1.01 Рабочее место пользователя;1.01 АРМ;
6;1.02 Телефонная связь;1.02 Телефония;
7;1.03 Факсимильная связь;1.03 Факс;
8;1.04 Мобильная связь;1.04 Мобильные;
9;1.05 Управление специальной связью;1.05 Кремлевка;
10;1.06 Печать и копирование;1.06 Принтеры;
11;1.07 Сканирование;1.07 Сканеры;
12;1.08 Файлы и общие ресурсы;1.08 Шары;OU/Groups/FS/
13;1.09 Электронная почта на базе клиента IBM Lotus Notes;1.09 Лотус;
15;1.11 Электронная почта на базе клиента MS Outlook;1.11 Outlook;
16;1.12 Закупка ИТ-имущества и услуг;1.12 Закупки;
17;1.13 Видеоконференцсвязь;1.13 ВКС;
18;1.14 Пресс-центр;1.14 Пресс-центр;
19;1.15 Телевидение;1.15 ТВ;
20;1.16 Удаленный доступ (VPN etc);1.16 VPN;
21;1.17 Доступ в сеть Интернет;1.17 Internet;
22;1.18 Часы;1.18 Часы;
97;2.01 Система редакционной подготовки новостей (IBM Lotus Notes);2.01 IBM Lotus Notes;
98;2.5.1 Система подготовки, хранения и распространения фотоинформации;2.5.1 ТАСС-ФОТО;
99;2.03 SameTime;2.03 SameTime;
100;2.04 Терминал (СПИР, https://terminal.tass.ru);2.04 Терминал ТАСС;
101;2.05 Мониторинг;2.05 Мониторинг;
102;2.06 ИНФО-ТАСС http://info.itar-tass.com;2.06 ИНФО-ТАСС;
103;2.12 Сводка. Мобильное приложение;2.12 Сводка;
104;2.08 Внутренний корпоративный портал ИТАР-ТАСС (my.tass.ru);2.08 MY.TASS;
105;2.02 Система рассылки информационных пакетов ИТАР-ТАСС;2.02 Система рассылки информационных пакетов ИТАР-ТАСС;
106;2.10 FTP mosftp.itar-tass.com 194.28.236.6;2.10 mosftp.itar-tass.com;
107;2.3 FTP ftp.itar-tass.com 194.28.236.4 (а также 194.28.237.220 - для Окон ТАСС);2.3 ftp.itar-tass.com;
108;2.4 www.ania-news.info;2.4 ania-news.info;Шкиря Александр - владелец
109;2.14 http://tass-online.ru;2.14 TASS-ONLINE;Есть возможность ограничения доступа по сроку
111;2.17 www.sms-tass.ru;2.17 СМС-ТАСС;Владелец А.Симонов. Просили согласовывать доступ с ним.
115;2.5 http://tassphoto.com;2.5 ТАСС-ФОТО;
116;2.23 http://tass-audio.itar-tass.com;2.23 TACC-Аудио;
117;2.24 http://lnhttp.itar-tass.com;2.24 LNHTTP;
118;2.6 Fotostation;2.6 Fotostation;
119;2.26 Сервис 1С;2.26 1C;
120;2.27 АРМ секретаря;2.27 АРМ секретаря;
121;2.28 Jabber;2.28 Jabber;
122;2.29 Система Инфраменеджер;2.29 Инфраменеджер;
123;2.7 Sibur.photas.ru;2.7 Sibur.photas.ru;
124;2.31 Bashneft.photas.ru;;
125;2.32 Cch.photas.ru;;
126;2.33 ТАСС Наука (http://www.chrdk.ru);2.33 Чердак;Пенчилова Дарья Михайловна - владелец
127;2.34 ТАСС WIKI;;
131;3.01 Система контроля и управления доступом (СКУД);3.01 СКУД;
132;3.02 Система видеонаблюдения зданий ИТАР-ТАСС;3.02 Видеонаблюдение;
133;4.01 Вычислительные ресурсы;;
